station,name,lon,lat,trafic,main,ratpId,ratpx,ratpy,corr
0,Abbesses,2.33868777751922,48.8848485176301,2545127,381,1975,3933,2208,0
1,Alésia,2.32680290937423,48.8282176767106,5317934,382,1981,3942,6387,0
2,Alexandre Dumas,2.39479,48.855907,3926266,383,1978,6230,4281,0
3,Alma — Marceau,2.300234,48.864904,4080301,384,1980,2166,4057,0
4,Anatole France,2.285536,48.892022,3702732,385,1982,2055,1952,0
5,Anvers,2.34484881162643,48.883007126386,6667509,386,1984,4228,2375,0
6,Argentine,2.29011297225952,48.8753392253298,2820883,387,1986,1785,3153,0
7,Arts Et Métiers,2.356794,48.865285,3859066,388,1988,4958,3768,1
8,Asnières — Gennevilliers — Les Agnettes,2.28589117527008,48.9230385625816,2367677,389,225436,2112,1100,0
9,Asnières — Gennevilliers — Les Courtilles,2.2837883234024,48.9306057560221,3377106,390,225437,1988,984,0
10,Assemblée nationale,2.32113003730773,48.8606545695233,1085710,391,1989,2769,4500,0
11,Aubervilliers — Pantin — Quatre Chemins,2.39249557256698,48.9038969403392,7356008,392,1992,6065,1689,0
12,Avenue Émile-Zola,2.29451179504394,48.8469770094919,1479756,393,1994,2022,5301,0
13,Avron,2.39786267280578,48.8519401896706,1922250,394,1995,6254,4545,0
14,Balard,2.27821201086044,48.8359704793256,4263152,395,1997,1749,6345,0
15,Barbès — Rochechouart,2.350516,48.88364,9323474,396,1999,4583,2388,1
16,Basilique de Saint-Denis,2.36084550619125,48.9380995659894,5415515,397,50622,4653,888,0
17,Bastille,2.369077,48.853082,12517181,398,2000,5165,4560,1
18,Bel-Air,2.40091234445571,48.8413442983929,2369793,399,2003,6410,5268,0
19,Belleville,2.37694680690765,48.8720826136232,11794952,400,2004,5654,3117,1
20,Bérault,2.428264,48.845371,2531531,401,1938,7037,5123,0
21,Bercy,2.38041758537292,48.8399302842876,5565249,402,2005,5900,5766,1
22,Bibliothèque François Mitterrand,2.376781,48.829823,15826727,403,51020,5894,6204,0
23,Billancourt,2.23817735910415,48.8320898139466,2643194,404,2006,837,6384,0
24,Bir-Hakeim,2.289332,48.853917,7825821,405,2007,1740,4845,0
25,Blanche,2.333703,48.883459,4252071,406,2009,3531,2382,0
26,Bobigny — Pablo Picasso,2.449994,48.906538,6722182,407,2010,7121,1806,0
27,Bobigny — Pantin — Raymond Queneau,2.42492884397506,48.8954087508734,2251347,408,2011,6911,2007,0
28,Boissière,2.29039192199707,48.8673860863161,2145714,409,2012,1506,3876,0
29,Bolivar,2.3749217391014,48.8805024432631,582328,410,2014,5786,2700,0
30,Bonne Nouvelle,2.35021322965621,48.8700660895994,5196140,411,2015,4484,3420,1
31,Botzaris,2.38804042339324,48.8795516891512,1096111,412,2016,6257,2766,0
32,Boucicaut,2.28662073612213,48.840578158377,2826775,413,2017,2130,5976,0
33,Boulogne — Jean-Jaurès,2.23887741565704,48.8422781260207,3748047,414,2018,714,5739,0
34,Boulogne — Pont de Saint-Cloud,2.228331,48.840684,2900015,415,2019,567,5895,1
35,Bourse,2.34136998653411,48.8687375739842,3350796,416,1930,3857,3840,0
36,Bréguet — Sabin,2.3700937628746,48.8561334463687,2448167,417,1933,5345,4308,0
37,Brochant,2.3197004199028,48.8908554969646,3401859,418,1931,2976,1971,0
38,Buttes Chaumont,2.38177210092544,48.8785003704289,575182,419,1936,6121,2766,0
39,Buzenval,2.402045,48.851976,1853733,420,1937,6593,4623,0
40,Cadet,2.34487563371658,48.8761348225115,3650405,421,1939,4050,2922,0
41,Cambronne,2.30293661355972,48.8475365391158,3155480,422,1940,2577,5349,0
42,Campo-Formio,2.35812842845916,48.8350224100278,1234237,423,1941,5045,5868,0
43,Cardinal Lemoine,2.35120296478271,48.8471393972822,1661863,424,1942,4475,5196,0
44,Carrefour Pleyel,2.34392613172531,48.9199419211037,2754091,425,228266,3696,1104,0
45,Censier — Daubenton,2.351774,48.840597,3766777,426,1944,4550,5682,0
46,Champs-Élysées — Clemenceau,2.313542,48.867531,4502691,427,1949,2589,3957,1
47,Chardon-Lagache,2.26621448993682,48.8451377544999,636141,428,1950,1221,5685,0
48,Charenton — Écoles,2.412875,48.8219027777778,2975899,429,1951,6644,6273,0
49,Charles de Gaulle — Étoile,2.294981,48.873773,8980015,430,1953,2013,3315,1
50,Charles Michels,2.286942,48.846591,3892728,431,1952,1902,5424,0
51,Charonne,2.38463938236236,48.8551028131354,3924516,432,1955,6035,4380,0
52,Château de Vincennes,2.440136,48.844382,4842822,433,1962,7136,5223,0
53,Château d'Eau,2.3563152551651,48.8727671194867,4858849,434,1961,4776,3075,0
54,Château Rouge,2.349552,48.88673,6798017,435,1960,4374,2166,0
55,Château-Landon,2.36207127571105,48.8784562710064,1600022,436,1963,5243,2748,0
56,Châtelet,2.34891235828399,48.8574940615131,14440964,437,1964,4158,4251,1
57,Châtillon — Montrouge,2.30182617902755,48.810539415015,6540563,438,1968,2886,7161,0
58,Chaussée d'Antin — La Fayette,2.33393222093582,48.873072321402,7778782,439,1957,3582,3393,1
59,Chemin Vert,2.3683476448059,48.8567775813646,1448436,440,1958,5129,4348,0
60,Chevaleret,2.36808210611343,48.8349376655298,2999174,441,1959,5387,6147,0
61,Cité,2.346418,48.855637,2364993,442,1969,4109,4464,0
62,Cluny — La Sorbonne,2.3445832729339,48.851018896823,2744528,443,54244,4148,4927,0
63,Colonel Fabien,2.37116,48.877136,4554566,444,1972,5660,2847,0
64,Commerce,2.294215,48.845093,2700300,445,1973,2211,5523,0
65,Concorde,2.322397,48.866176,6866631,446,1885,2756,4115,1
66,Convention,2.296795,48.837419,5780845,447,1887,2452,6267,0
67,Corentin Cariou,2.38174527883529,48.8943401313116,3090833,448,1888,5732,2019,0
68,Corentin Celton,2.278985,48.826833,3385005,449,1889,1996,6738,0
69,Corvisart,2.35050827264785,48.8298068253229,2604292,450,1890,4672,6155,0
70,Cour Saint-Émilion,2.385935,48.833501,5550822,451,50055,6050,6030,0
71,Courcelles,2.304339,48.879401,2685096,452,1892,2352,2967,0
72,Couronnes,2.379861,48.869521,3324335,453,1893,5828,3336,0
73,Créteil — L'Échat,2.44935572147369,48.7959629651513,2109885,454,1897,6956,6876,0
74,Créteil — Préfecture,2.459317445755,48.7797721527949,4865573,455,1898,6956,7155,0
75,Créteil — Université,2.45078533887863,48.7897537470342,3116625,456,1899,6956,7017,0
76,Crimée,2.37707018852233,48.8915803068059,7183997,457,1894,5621,2133,0
77,Croix de Chavaux,2.435764,48.858055,4978787,458,1896,7028,4179,0
78,Danube,2.39420145750045,48.8818077163162,679746,459,1900,6482,2568,0
79,Daumesnil,2.39579200744628,48.8396442990536,5435445,460,1901,6254,5418,1
80,Denfert-Rochereau,2.33272790908813,48.8339012993442,4335086,461,1902,4107,5919,1
81,Dugommier,2.38996356725692,48.8390493739217,2694014,462,1906,6074,5601,0
82,Dupleix,2.29361057281494,48.8503923374046,3855503,463,1907,1923,5037,0
83,Duroc,2.31647908687591,48.8468287419191,3218029,464,1908,2964,5349,1
84,École Militaire,2.30673730373382,48.8551098723394,4403029,465,1909,2202,4863,0
85,École Vétérinaire de Maisons-Alfort,2.42188185453414,48.8151900556003,3371386,466,23674,6818,6444,0
86,Edgar Quinet,2.32508361339569,48.8410477294544,2224650,467,1910,3636,5676,0
87,Église d'Auteuil,2.2690200805664,48.8471694036641,178152,468,1911,1329,5481,0
88,Église de Pantin,2.41291791200637,48.8936277055798,3632300,469,1912,6770,2154,0
89,Esplanade de la Défense,2.249955,48.888361,8721277,470,1913,1080,2463,0
90,Étienne Marcel,2.3506075143814,48.8641113120825,2661074,471,1914,4238,3918,0
91,Europe,2.32238,48.878821,1536565,472,1915,2910,2832,0
92,Exelmans,2.25954920053482,48.842405224087,1985640,473,1916,1083,5889,0
93,Faidherbe — Chaligny,2.38339751958847,48.8501575962232,2974641,474,1917,5696,4857,0
94,Falguière,2.31828689575195,48.8445658418667,926922,475,1918,3144,5595,0
95,Félix Faure,2.291004,48.842351,1932459,476,1925,2205,5739,0
